"Fish_ID_comp","Date","Fish_ID_day","Trap","Habitat","PIT_tag","Species","FL","TL","Weight","Diet","Fin.Clip","Pink_Salmon_pres_abs","date","doy","age_cluster"
438,"6/21/2021","2",3,"Main_Side",NA,"Coho",61,66,3,"Y","N",0,2021-06-21,172,"age-1"
441,"6/21/2021","5",3,"Main_Side",NA,"Coho",34,35,0.4,"N","N",0,2021-06-21,172,"age-0"
442,"6/21/2021","6",3,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-21,172,"age-0"
443,"6/21/2021","7",3,"Main_Side",NA,"Coho",38,40,0.4,"N","N",0,2021-06-21,172,"age-0"
444,"6/21/2021","8",3,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-21,172,"age-0"
445,"6/21/2021","9",3,"Main_Side",NA,"Coho",35,36,0.4,"N","N",0,2021-06-21,172,"age-0"
446,"6/21/2021","10",3,"Main_Side",NA,"Coho",36,37,0.3,"N","N",0,2021-06-21,172,"age-0"
447,"6/21/2021","11",3,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-21,172,"age-0"
448,"6/21/2021","12",3,"Main_Side",NA,"Coho",36,37,0.3,"N","N",0,2021-06-21,172,"age-0"
449,"6/21/2021","13",3,"Main_Side",NA,"Coho",36,37,0.3,"N","N",0,2021-06-21,172,"age-0"
